Trajectories
100
,,S01:WRIST,,,S01:ELBOW,,,S01:SHLDR,,,S01:CHEST,,,S01:RHIP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
40,0,-40.1093,-128.757,1311.74,78.1566,-67.2966,1113.88,276.291,-177.969,1272.98,155.769,-310.973,1230.59,265.038,-186.889,941.131
41,0,-40.3731,-128.911,1313.66,77.1312,-67.288,1115.29,276.134,-178.127,1273.13,155.769,-311.167,1230.67,264.891,-186.875,941.161
42,0,-40.172,-129.396,1315.43,76.297,-67.365,1116.61,275.968,-178.182,1273.34,155.641,-311.303,1230.73,264.871,-186.878,941.166
43,0,-40.5134,-129.614,1317.34,75.3274,-67.5001,1117.98,275.871,-178.397,1273.53,155.596,-311.449,1230.83,264.819,-186.887,941.172
44,0,-40.3092,-130.007,1319.05,74.4884,-67.7291,1119.28,275.726,-178.402,1273.77,155.596,-311.546,1230.88,264.816,-186.848,941.194
45,0,-40.4282,-130.364,1320.89,73.5478,-67.6743,1120.61,275.653,-178.573,1273.96,155.495,-311.681,1231.01,264.761,-186.852,941.219
46,0,-40.3823,-130.693,1322.57,72.8632,-67.9916,1121.83,275.507,-178.672,1274.14,155.459,-311.829,1231.04,264.702,-186.846,941.219
47,0,-40.5297,-131.002,1324.29,71.9629,-67.9958,1123.09,275.408,-178.757,1274.37,155.458,-311.996,1231.1,264.689,-186.875,941.202
48,0,-40.5286,-131.313,1325.91,71.2814,-68.3272,1124.29,275.316,-178.896,1274.53,155.423,-312.242,1231.15,264.613,-186.837,941.207
49,0,-40.7448,-131.584,1327.55,70.4016,-68.3112,1125.51,275.11,-178.979,1274.72,155.358,-312.396,1231.21,264.555,-186.852,941.194
50,0,-40.6591,-132.022,1329.07,69.7522,-68.6159,1126.71,274.953,-179.127,1274.89,155.328,-312.556,1231.27,264.529,-186.845,941.209
51,0,-40.802,-132.469,1330.6,68.8815,-68.6866,1127.89,274.798,-179.192,1275.05,155.288,-312.78,1231.28,264.491,-186.844,941.218
52,0,-40.8943,-132.717,1332.09,68.2905,-68.8502,1129.04,274.617,-179.277,1275.24,155.173,-312.895,1231.36,264.439,-186.824,941.202
53,0,-41.0106,-133.081,1333.46,67.4541,-69.0166,1130.2,274.516,-179.474,1275.4,155.149,-313.088,1231.37,264.388,-186.838,941.199
54,0,-41.1851,-133.453,1334.92,66.9298,-68.9693,1131.31,274.454,-179.615,1275.54,155.127,-313.309,1231.46,264.331,-186.827,941.238
55,0,-41.3237,-133.717,1336.31,66.1296,-69.1381,1132.4,274.257,-179.727,1275.63,155.077,-313.445,1231.56,264.31,-186.84,941.24
56,0,-41.402,-134.184,1337.53,65.4068,-69.1111,1133.48,274.163,-179.847,1275.81,155.007,-313.601,1231.61,264.26,-186.816,941.27
57,0,-41.5109,-134.486,1338.9,64.8566,-69.3086,1134.57,274.017,-179.948,1275.96,154.999,-313.67,1231.7,264.218,-186.856,941.248
58,0,-41.8263,-134.715,1340.19,64.3363,-69.4265,1135.61,273.873,-179.998,1276.15,154.967,-313.835,1231.76,264.19,-186.877,941.235
59,0,-41.8672,-134.998,1341.45,63.7179,-69.6833,1136.66,273.71,-180.033,1276.28,154.937,-313.921,1231.81,264.136,-186.857,941.299
60,0,-42.0209,-135.242,1342.75,62.9551,-69.6744,1137.62,273.526,-180.122,1276.38,154.857,-314.07,1231.84,263.992,-186.818,941.288
61,0,-42.1093,-135.492,1343.89,62.3379,-69.7254,1138.7,273.442,-180.165,1276.53,154.83,-314.141,1231.87,263.956,-186.818,941.279
62,0,-41.9937,-135.925,1345.04,61.9389,-69.8318,1139.65,273.3,-180.206,1276.7,154.825,-314.31,1231.9,263.905,-186.798,941.301
63,0,-42.3543,-135.929,1346.36,61.3149,-69.7883,1140.63,273.149,-180.34,1276.87,154.796,-314.401,1231.95,263.798,-186.8,941.316
64,0,-42.4248,-136.311,1347.41,60.798,-69.9597,1141.64,273.049,-180.413,1276.99,154.692,-314.561,1232.09,263.79,-186.836,941.327
65,0,-42.471,-136.513,1348.6,60.2611,-70.0306,1142.6,272.935,-180.553,1277.17,154.753,-314.659,1232.09,263.77,-186.849,941.327
66,0,-42.7683,-136.589,1349.73,59.6896,-70.0268,1143.52,272.816,-180.629,1277.35,154.655,-314.801,1232.15,263.732,-186.844,941.312
67,0,-42.9994,-136.698,1350.87,59.2365,-70.1032,1144.48,272.742,-180.795,1277.46,154.625,-314.938,1232.26,263.721,-186.863,941.295
68,0,-43.0667,-136.896,1351.85,58.9135,-70.2509,1145.31,272.682,-180.854,1277.61,154.611,-315.094,1232.26,263.672,-186.844,941.297
69,0,-43.2719,-137.037,1352.89,58.3493,-70.2573,1146.18,272.565,-180.993,1277.75,154.616,-315.27,1232.31,263.633,-186.91,941.321
70,0,-43.3457,-137.112,1353.84,57.8662,-70.2201,1147.08,272.43,-181.089,1277.84,154.538,-315.418,1232.34,263.612,-186.849,941.348
71,0,-43.4445,-137.359,1354.78,57.6746,-70.5202,1147.84,272.318,-181.148,1277.99,154.515,-315.569,1232.38,263.585,-186.852,941.325
